Restaurant ID,Restaurant Name,City,country name,Address,Locality,Locality Verbose,Longitude,Latitude,Cuisines,Average Cost for two,Currency,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,Price range,Aggregate rating,Rating color,Rating text,Votes
8029,Hareram Bikanerzaika,Faridabad,India,"77 & 78, HUDA Market, Opposite Community Centre, Sector 21 C, Near Sector 21, Faridabad",Sector 21,"Sector 21, Faridabad",77.296959,28.430416,Street Food,200,Indian Rupees(Rs.),No,No,No,No,1,2.8,Orange,Average,11
8033,Tip Top Eating Corner,New Delhi,India,"A 55 & 56, New Ashok Nagar, Near, Mayur Vihar Phase 1, New Delhi",Mayur Vihar Phase 1,"Mayur Vihar Phase 1, New Delhi",77.309343,28.590536,indian,100,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,0
8037,Bikaner Sweets & Bakers,Faridabad,India,"A-1, Shiv Durga Vihar, Near Eros Garden, Suraj Kund, Faridabad",Suraj Kund,"Suraj Kund, Faridabad",77.294073,28.493805,Street Food,100,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,0
8054,Kay's Food Land,Faridabad,India,"129, HUDA Shopping Centre, Sector 37, Faridabad",Sector 37,"Sector 37, Faridabad",77.31041,28.480548,bakery,100,Indian Rupees(Rs.),No,No,No,No,1,3.1,Orange,Average,14
8061,Aggarwal Sweet Shop,Noida,India,"8, Royal Paradise Shopping Complex, Y 349C, Near Sabzi Mandi, Sector 12, Noida",Sector 12,"Sector 12, Noida",77.344178,28.597059,Street Food,150,Indian Rupees(Rs.),No,Yes,No,No,1,2.3,Red,Poor,15
8062,Aman Vaishno Dhaba,New Delhi,India,"417, New Ashok Nagar, Near Mayur Vihar Phase 1, New Delhi",Mayur Vihar Phase 1,"Mayur Vihar Phase 1, New Delhi",77.312282,28.594717,indian,150,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,1
8065,Hari Om Restaurant,Noida,India,"Main Road, I Block Market, Sector 22, Noida",Sector 22,"Sector 22, Noida",77.344666,28.59907,indian,250,Indian Rupees(Rs.),No,No,No,No,1,3,Orange,Average,10
8068,Snacks Point,Noida,India,"17, A Block Market, Sector 55, Noida",Sector 55,"Sector 55, Noida",77.346934,28.607024,Chinese,150,Indian Rupees(Rs.),No,No,No,No,1,2.9,Orange,Average,4
8069,Evergreen Sweets Corner,New Delhi,India,"A-650, New Ashok Nagar, Near Mayur Vihar Phase 1, New Delhi",Mayur Vihar Phase 1,"Mayur Vihar Phase 1, New Delhi",77.31228,28.594681,Street Food,100,Indian Rupees(Rs.),No,No,No,No,1,3,Orange,Average,8
8072,Jhatpat Khana,Noida,India,"Y-372, Near City Hospital, Sector 12, Noida",Sector 12,"Sector 12, Noida",77.343538,28.596352,indian,400,Indian Rupees(Rs.),No,No,No,No,1,3,Orange,Average,7
8074,Saheb's Restaurant,Noida,India,"3, I-25, Sector 12, Noida",Sector 12,"Sector 12, Noida",77.337811,28.596915,FAST FOOD,550,Indian Rupees(Rs.),No,No,No,No,2,2.7,Orange,Average,26
8077,Shree Ganesh M Cafe,Noida,India,"Noida Authority, Opposite Vijaya Bank, Sector 6, Noida",Sector 6,"Sector 6, Noida",77.317851,28.592093,indian,150,Indian Rupees(Rs.),No,No,No,No,1,3.1,Orange,Average,7
8084,Defence Bakery,Noida,India,"30, C Block Market, Sector 41, Noida",Sector 41,"Sector 41, Noida",77.361986,28.568991,FAST FOOD,150,Indian Rupees(Rs.),No,No,No,No,1,3.4,Orange,Average,117
8089,Chauhan Fast Food,Noida,India,"Near A-37, Opposite Star News Building, Sector 60, Noida",Sector 60,"Sector 60, Noida",77.362484,28.604725,FAST FOOD,250,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,2
8090,Shankar Fast Food,Noida,India,"D-16, B Block, Near HCL Call Center, Sector 59, Noida",Sector 59,"Sector 59, Noida",77.362603,28.608816,indian,300,Indian Rupees(Rs.),No,No,No,No,1,2.7,Orange,Average,15
